names,scores,method,logfoldchanges,pvals,pvals_adj
mxra5.L,14.8369465,wilcoxon,3.0147555,8.451618459878558e-50,2.401097190380814e-47
loc100488540.L,14.827378,wilcoxon,3.3805034,9.746564046525012e-50,2.7442669393496984e-47
kera.L,14.8152685,wilcoxon,3.3360827,1.1672124311900226e-49,3.2573490281041913e-47
sp9.L,14.775983,wilcoxon,8.284291,2.0928105013057367e-49,5.789191154269861e-47
pfn1.L,14.706907,wilcoxon,2.707083,5.8207410285825406e-49,1.5961484203160905e-46
plec.L,14.703209,wilcoxon,2.745106,6.147644150155657e-49,1.671258260992747e-46
krt.S,14.686731,wilcoxon,4.477258,7.840621096445475e-49,2.1132819339863936e-46
fermt1.S,14.677009,wilcoxon,3.6146526,9.049512745776255e-49,2.4184439359157134e-46
Xelaev18043710m.g,14.675508,wilcoxon,2.2325265,9.252049138549144e-49,2.4517930217155233e-46
perp.S,14.647228,wilcoxon,2.7064908,1.403247635944454e-48,3.687617849959029e-46
enpp2.S,14.609507,wilcoxon,4.300915,2.4427991266529095e-48,6.366419046198306e-46
pfn1.S,14.562099,wilcoxon,2.1924906,4.893142056853583e-48,1.2647970062530963e-45
dlx5.S,14.502493,wilcoxon,3.8035939,1.168288161518851e-47,2.995281884024143e-45
Xelaev18037442m.g,14.500956,wilcoxon,3.3071225,1.194753577272475e-47,3.038431778974798e-45
rhou.S,14.478618,wilcoxon,4.172896,1.6539046420345627e-47,4.172470630924794e-45
ahnak.L,14.406657,wilcoxon,2.5819705,4.69912603882683e-47,1.1760868224952706e-44
itm2b.L,14.395189,wilcoxon,2.2406437,5.547273343663597e-47,1.377427282617571e-44
mapk12.like.1.L,14.368673,wilcoxon,3.5508256,8.137521482448766e-47,2.004818280851733e-44
msx2.S,14.317875,wilcoxon,3.860866,1.6921911790319397e-46,4.136685955873815e-44
fbn3.L,14.291712,wilcoxon,2.843903,2.4647684174606525e-46,5.978959388047822e-44
ppia.L,14.290762,wilcoxon,1.097219,2.4986096771002913e-46,6.014782913538755e-44
srsf5.S,14.25607,wilcoxon,1.8883353,4.10953291073418e-46,9.817736389394119e-44
tfap2a.S,14.206149,wilcoxon,3.6431067,8.391483268261463e-46,1.9896648486062047e-43
fbxw7.like.L,14.144516,wilcoxon,3.9352472,2.0190009734229824e-45,4.751432514693564e-43
emilin1.L,14.13219,wilcoxon,3.1259818,2.405465214968568e-45,5.618988559558059e-43
anxa2.S,14.130679,wilcoxon,3.16771,2.4576160893290117e-45,5.698597307131645e-43
fgf7.L,14.115694,wilcoxon,7.162631,3.0400807115116024e-45,6.9977332290159395e-43
lef1.S,14.103955,wilcoxon,4.328514,3.5906708368450135e-45,8.205203249268659e-43
ptma.L,14.09455,wilcoxon,2.0636528,4.102552198691893e-45,9.307480833507112e-43
itgb4.L,13.919057,wilcoxon,3.049216,4.852639682857632e-44,1.0930570885636816e-41
Xelaev18010117m.g,13.906423,wilcoxon,2.9799452,5.790368072038958e-44,1.2950301925655926e-41
ggt1.L,13.731527,wilcoxon,3.9464712,6.5733331068446214e-43,1.4597891515798954e-40
loc101735270.L,13.716089,wilcoxon,2.6761255,8.133543616945057e-43,1.7936454402822546e-40
atf4.S,13.70758,wilcoxon,1.9698251,9.145849688655914e-43,2.002877568970585e-40
Xelaev18003216m.g,13.64308,wilcoxon,2.0864687,2.2198418796656527e-42,4.827773356914232e-40
Xelaev18047430m.g,13.613788,wilcoxon,2.8536289,3.3160488252484485e-42,7.162438335904783e-40
Xelaev18028634m.g,13.599679,wilcoxon,1.4541899,4.021946059721152e-42,8.628031904306567e-40
loc100127750.S,13.5677185,wilcoxon,5.4422073,6.2228903059603e-42,1.3259381472868787e-39
