names,scores,method,logfoldchanges,pvals,pvals_adj
col1a1.S,14.683455,wilcoxon,4.059232,8.228818883109788e-49,2.544076504694776e-46
mxra5.L,14.669668,wilcoxon,3.1053808,1.0083721085901173e-48,3.087282955765956e-46
abracl.L,14.604084,wilcoxon,2.5006588,2.6451241208403494e-48,8.02057587987504e-46
snai2.L,14.599335,wilcoxon,4.4634438,2.8360100332442175e-48,8.517483466510134e-46
wasf2.L,14.581591,wilcoxon,2.9408104,3.678465713761505e-48,1.0943435498440478e-45
anxa1.S,14.5658865,wilcoxon,3.0699623,4.6294239271326515e-48,1.3643820891787679e-45
gpx7.L,14.484494,wilcoxon,3.3507874,1.5183595769114976e-47,4.433469375731859e-45
cpa6.L,14.4398365,wilcoxon,7.413887,2.905286083018437e-47,8.405339140182239e-45
prdm1.S,14.339039,wilcoxon,4.1289854,1.2477093676037163e-46,3.5769559006711997e-44
ppia.L,14.330002,wilcoxon,1.1526586,1.4211669320914966e-46,4.0375224507662476e-44
perp.S,14.327216,wilcoxon,2.770222,1.4793268495771868e-46,4.1652296608407663e-44
krt.S,14.295751,wilcoxon,4.5112514,2.3258295107572266e-46,6.49071093997603e-44
cldn7.L,14.260745,wilcoxon,3.2500505,3.843309635404467e-46,1.0631470995831568e-43
loc100486548.S,14.252246,wilcoxon,3.8160226,4.340935342723122e-46,1.1903599655023798e-43
msx1.S,14.225587,wilcoxon,4.0948586,6.356839575774295e-46,1.7281287588107104e-43
itm2b.L,14.21282,wilcoxon,2.320794,7.629039944377482e-46,2.0562544841533668e-43
enpp2.S,14.200836,wilcoxon,4.354281,9.052541843593876e-46,2.4192534494723127e-43
kera.L,14.039894,wilcoxon,3.2665377,8.884510337198437e-45,2.3543952393575856e-42
pfn1.L,14.037033,wilcoxon,2.681172,9.250519311624422e-45,2.430959387433968e-42
loc100488540.L,14.022726,wilcoxon,3.3351593,1.131816779352323e-44,2.949739019576488e-42
fermt1.S,13.99857,wilcoxon,3.632342,1.5903781482484816e-44,4.110866795493104e-42
pfn1.S,13.959116,wilcoxon,2.1867316,2.7684536601968014e-44,7.09782001417123e-42
Xelaev18043710m.g,13.955623,wilcoxon,2.2202709,2.907530499834026e-44,7.394272121956938e-42
msx2.S,13.94429,wilcoxon,3.907492,3.408214852028261e-44,8.598244428696896e-42
mapk12.like.1.L,13.902013,wilcoxon,3.574356,6.158497672648519e-44,1.5413351119600876e-41
rhou.S,13.818524,wilcoxon,4.1823506,1.970681553662283e-43,4.893341952341739e-41
plec.L,13.807693,wilcoxon,2.6549752,2.290503827871485e-43,5.643049860306818e-41
fbn3.L,13.80265,wilcoxon,2.8487263,2.456528074717707e-43,5.973040086855004e-41
anxa2.S,13.80248,wilcoxon,3.2116258,2.462328242559539e-43,5.973040086855004e-41
ptma.L,13.74921,wilcoxon,2.1055124,5.148828175786372e-43,1.2394526452169713e-40
ahnak.L,13.688376,wilcoxon,2.5674856,1.191410742817272e-42,2.8462983162683842e-40
Xelaev18037442m.g,13.679944,wilcoxon,3.2558243,1.3379581178713445e-42,3.172369116321267e-40
fgf7.S,13.678414,wilcoxon,6.369573,1.3664032744467848e-42,3.215636362662639e-40
lef1.S,13.645542,wilcoxon,4.3600984,2.146119374879362e-42,5.013175887912643e-40
fbxw7.like.L,13.603246,wilcoxon,3.9477284,3.8305100310511235e-42,8.881995134499792e-40
cpa6.S,13.518048,wilcoxon,5.61714,1.223801200921147e-41,2.8169759759889317e-39
srsf5.S,13.457394,wilcoxon,1.8647447,2.7857000851699723e-41,6.36572841926341e-39
tfap2a.S,13.45661,wilcoxon,3.631072,2.815400019414963e-41,6.387312202320206e-39
emilin1.L,13.376163,wilcoxon,3.1069186,8.334055865385615e-41,1.8639322816662082e-38
itgb4.L,13.3583145,wilcoxon,3.06944,1.0593569977460083e-40,2.352593163656364e-38
dlx5.S,13.299407,wilcoxon,3.7659533,2.333106476304563e-40,5.145070820298209e-38
ggt1.L,13.273731,wilcoxon,3.9551733,3.287943355956533e-40,7.200367620145088e-38
Xelaev18003216m.g,13.252408,wilcoxon,2.1206474,4.369550977130228e-40,9.50302000440012e-38
loc101735270.L,13.245146,wilcoxon,2.694131,4.8134475433467954e-40,1.039671700544118e-37
plk2.L,13.20743,wilcoxon,3.460466,7.949296080571804e-40,1.7053132782369511e-37
Xelaev18010117m.g,13.177277,wilcoxon,2.960996,1.1859454031527724e-39,2.5269451546231537e-37
loc100127750.S,13.166937,wilcoxon,5.50653,1.360050102488201e-39,2.8784684551654643e-37
galnt3.S,13.148654,wilcoxon,4.2439785,1.7322986959540994e-39,3.641869291794168e-37
atf4.S,13.113884,wilcoxon,1.9539437,2.7418821824066694e-39,5.726175802794326e-37
Xelaev18035740m.g,13.105215,wilcoxon,2.4441402,3.073891779809719e-39,6.377314294493388e-37
Xelaev18028634m.g,13.091645,wilcoxon,1.4621694,3.6755938621351585e-39,7.575807349178576e-37
fgfr4.L,13.038413,wilcoxon,5.052169,7.398068032176108e-39,1.5149225674978804e-36
Xelaev18047430m.g,12.962131,wilcoxon,2.8434732,2.0059819921494666e-38,4.0812027175763506e-36
col5a3.like.L,12.909937,wilcoxon,3.277591,3.9562381984581587e-38,7.99743407617808e-36
ptma.S,12.907765,wilcoxon,2.0443778,4.0694075155344177e-38,8.173806751743814e-36
pmp22.S,12.899965,wilcoxon,3.9121234,4.5030148867031696e-38,8.987504712163572e-36
rspo2.L,12.873656,wilcoxon,6.61582,6.333192139608451e-38,1.2560831076890095e-35
gpa33.L,12.84764,wilcoxon,2.6574547,8.86747412402779e-38,1.7477237281326022e-35
anxa7.L,12.837904,wilcoxon,2.0816371,1.0056075146654907e-37,1.969679066768711e-35
jag1.L,12.833579,wilcoxon,5.0270348,1.0633665041423275e-37,2.0699544881560678e-35
Xelaev18014918m.g,12.779846,wilcoxon,2.4239311,2.124892033841653e-37,4.11094909737402e-35
cap1.L,12.778024,wilcoxon,2.53784,2.175268834819869e-37,4.182750165002718e-35
